"Rank","Player","Matchup","Salary","Avg","Prob","Status"
1,"DeMarcus Cousins","SA@NO",10300,57.5,0.561,""
2,"Anthony Davis","SA@NO",9600,51.25,0.24,""
3,"Nikola Vucevic","ORL@MIN",6900,35.235,0.076,""
4,"Karl-Anthony Towns","ORL@MIN",9200,42.088,0.043,""
5,"Jonas Valanciunas","TOR@NY",4900,21.667,0.037,""
6,"Clint Capela","DEN@HOU",6800,34.985,0.022,""
7,"Marc Gasol","DAL@MEM",8300,41.734,0.012,""
8,"Blake Griffin","LAC@ATL",9300,42.203,0.004,""
9,"Nikola Jokic","DEN@HOU",8900,41.103,0.003,""
10,"Kristaps Porzingis","TOR@NY",8600,43.7,0.001,""
11,"LaMarcus Aldridge","SA@NO",8100,40.162,0.001,""
12,"Dewayne Dedmon","LAC@ATL",5300,25.074,0,""
13,"John Collins","LAC@ATL",4600,24.044,0,""
14,"Miles Plumlee","LAC@ATL",3000,0,0,""
15,"Trevor Booker","BKN@CLE",4800,21.458,0,"GTD"
16,"Tyler Zeller","BKN@CLE",3400,14.469,0,""
17,"Quincy Acy","BKN@CLE",3300,13.115,0,""
18,"Timofey Mozgov","BKN@CLE",3200,11.196,0,""
19,"Jarrett Allen","BKN@CLE",3000,10.688,0,""
20,"Al Horford","BOS@MIA",7100,34.594,0,""
21,"Aron Baynes","BOS@MIA",3500,15.375,0,""
22,"Daniel Theis","BOS@MIA",3300,11.338,0,""
23,"Guerschon Yabusele","BOS@MIA",3000,4.458,0,""
24,"Dwight Howard","WAS@CHA",6700,34.922,0,""
25,"Frank Kaminsky","WAS@CHA",4000,20.317,0,""
26,"Cody Zeller","WAS@CHA",3600,18.792,0,""
27,"Johnny O'Bryant III","WAS@CHA",3000,11,0,""
28,"Mangok Mathiang","WAS@CHA",3000,2.5,0,""
29,"Robin Lopez","CHI@UTA",4800,24.9,0,""
30,"Cristiano Felicio","CHI@UTA",3000,9.883,0,""
31,"Kevin Love","BKN@CLE",7900,37.368,0,""
32,"Channing Frye","BKN@CLE",3400,8.55,0,""
33,"Ante Zizic","BKN@CLE",3300,4.65,0,""
34,"Dirk Nowitzki","DAL@MEM",4200,21.986,0,""
35,"Nerlens Noel","DAL@MEM",3400,12.766,0,""
36,"Salah Mejri","DAL@MEM",3300,14.712,0,""
37,"Dwight Powell","DAL@MEM",3200,13.471,0,""
38,"Jeff Withey","DAL@MEM",3000,3.464,0,""
39,"Johnathan Motley","DAL@MEM",3000,0,0,""
40,"Mason Plumlee","DEN@HOU",3600,16.574,0,""
41,"Kenneth Faried","DEN@HOU",3400,9.533,0,""
42,"Draymond Green","GS@OKC",7600,34.632,0,""
43,"David West","GS@OKC",3500,16.297,0,""
44,"Zaza Pachulia","GS@OKC",3100,12.941,0,""
45,"JaVale McGee","GS@OKC",3000,9.733,0,""
46,"Damian Jones","GS@OKC",3000,0,0,""
47,"Jordan Bell","GS@OKC",3000,8.792,0,""
48,"Ryan Anderson","DEN@HOU",4700,22.838,0,"GTD"
49,"Tarik Black","DEN@HOU",3500,10.438,0,""
50,"Nene Hilario","DEN@HOU",3300,14.125,0,""
51,"Zhou Qi","DEN@HOU",3000,3.025,0,""
52,"Chinanu Onuaku","DEN@HOU",3000,0,0,""
53,"DeAndre Jordan","LAC@ATL",7000,31.953,0,""
54,"Montrezl Harrell","LAC@ATL",3200,9.477,0,""
55,"Willie Reed","LAC@ATL",3000,12.517,0,""
56,"Brice Johnson","LAC@ATL",3000,6.125,0,""
57,"Brook Lopez","LAL@SAC",5700,28.569,0,""
58,"Julius Randle","LAL@SAC",5200,24.861,0,""
59,"Ivica Zubac","LAL@SAC",3400,2,0,""
60,"Andrew Bogut","LAL@SAC",3000,8.25,0,""
61,"Thomas Bryant","LAL@SAC",3000,0,0,""
62,"Jarell Martin","DAL@MEM",3400,12.7,0,""
63,"Deyonta Davis","DAL@MEM",3000,6.625,0,""
64,"Hassan Whiteside","BOS@MIA",8600,39.591,0,""
65,"Kelly Olynyk","BOS@MIA",4100,19.563,0,""
66,"Bam Adebayo","BOS@MIA",3600,9.5,0,""
67,"Jordan Mickey","BOS@MIA",3000,11.083,0,""
68,"Udonis Haslem","BOS@MIA",3000,2,0,""
69,"Thon Maker","MIL@PHO",3300,12.375,0,""
70,"D.J. Wilson","MIL@PHO",3000,1.55,0,""
71,"Taj Gibson","ORL@MIN",5300,24.235,0,""
72,"Gorgui Dieng","ORL@MIN",3700,14.286,0,""
73,"Cole Aldrich","ORL@MIN",3000,1.15,0,""
74,"Omer Asik","SA@NO",3000,0,0,"GTD"
75,"Enes Kanter","TOR@NY",6000,30.516,0,""
76,"Joakim Noah","TOR@NY",4000,0,0,""
77,"Kyle O'Quinn","TOR@NY",3700,18.25,0,""
78,"Guillermo Hernangomez","TOR@NY",3500,7.583,0,""
79,"Steven Adams","GS@OKC",5600,28.981,0,""
80,"Dakari Johnson","GS@OKC",3400,7.406,0,""
81,"Patrick Patterson","GS@OKC",3100,7.484,0,""
82,"Nick Collison","GS@OKC",3000,1.5,0,""
83,"Bismack Biyombo","ORL@MIN",3200,12.603,0,""
84,"Marreese Speights","ORL@MIN",3100,13.808,0,""
85,"Khem Birch","ORL@MIN",3000,3,0,""
86,"Joel Embiid","POR@PHI",9700,45.518,0,""
87,"Dario Saric","POR@PHI",5000,21.328,0,""
88,"Richaun Holmes","POR@PHI",4100,11.958,0,""
89,"Amir Johnson","POR@PHI",3600,15.107,0,""
90,"Jahlil Okafor","POR@PHI",3400,12.625,0,""
91,"Alex Len","MIL@PHO",4600,24.059,0,""
92,"Greg Monroe","MIL@PHO",4600,18.344,0,""
93,"Tyson Chandler","MIL@PHO",4500,21.096,0,"GTD"
94,"Marquese Chriss","MIL@PHO",3900,18.472,0,""
95,"Dragan Bender","MIL@PHO",3400,13.819,0,""
96,"Jusuf Nurkic","POR@PHI",6600,28.324,0,""
97,"Noah Vonleh","POR@PHI",3500,16.725,0,""
98,"Ed Davis","POR@PHI",3400,17.485,0,""
99,"Meyers Leonard","POR@PHI",3200,11.4,0,""
100,"Zach Collins","POR@PHI",3000,1.5,0,""
101,"Pau Gasol","SA@NO",5900,28.544,0,""
102,"Joffrey Lauvergne","SA@NO",3000,10.571,0,""
103,"Zach Randolph","LAL@SAC",5000,23.3,0,""
104,"Willie Cauley-Stein","LAL@SAC",4700,22.5,0,""
105,"Skal Labissiere","LAL@SAC",3500,16.191,0,""
106,"Kosta Koufos","LAL@SAC",3400,17.912,0,""
107,"Georgios Papagiannis","LAL@SAC",3000,5.313,0,""
108,"Serge Ibaka","TOR@NY",5100,23.161,0,""
109,"Lucas Nogueira","TOR@NY",3400,13.846,0,""
110,"Jakob Poeltl","TOR@NY",3300,15.594,0,""
111,"Derrick Favors","CHI@UTA",6300,24.236,0,""
112,"Tony Bradley","CHI@UTA",3000,1.75,0,""
113,"Ekpe Udoh","CHI@UTA",3000,11.264,0,""
114,"Marcin Gortat","WAS@CHA",5100,26.721,0,""
115,"Jason Smith","WAS@CHA",3500,6.214,0,""
116,"Ian Mahinmi","WAS@CHA",3400,8.868,0,""
117,"Chris McCullough","WAS@CHA",3000,6.417,0,""
