"Rank","Player","Matchup","Salary","Avg","Prob","Status"
1,"DeMarcus Cousins","SA@NO",10300,57.5,0.451,""
2,"LeBron James","BKN@CLE",11400,54.941,0.21,""
3,"Anthony Davis","SA@NO",9600,51.25,0.185,""
4,"Aaron Gordon","ORL@MIN",7000,34.45,0.101,""
5,"Otto Porter","WAS@CHA",6100,32.641,0.032,""
6,"Kevin Durant","GS@OKC",10000,46.517,0.01,"GTD"
7,"Kristaps Porzingis","TOR@NY",8600,43.7,0.003,""
8,"Robert Covington","POR@PHI",6200,31.813,0.003,""
9,"T.J. Warren","MIL@PHO",6600,30.847,0.002,""
10,"Al Horford","BOS@MIA",7100,34.594,0.001,""
11,"Blake Griffin","LAC@ATL",9300,42.203,0.001,""
12,"LaMarcus Aldridge","SA@NO",8100,40.162,0.001,""
13,"John Collins","LAC@ATL",4600,24.044,0,""
14,"Ersan Ilyasova","LAC@ATL",3900,14.875,0,""
15,"Tyler Cavanaugh","LAC@ATL",3400,7.531,0,""
16,"Rondae Hollis-Jefferson","BKN@CLE",6400,27.533,0,""
17,"DeMarre Carroll","BKN@CLE",5300,28.483,0,""
18,"Trevor Booker","BKN@CLE",4800,21.458,0,"GTD"
19,"Quincy Acy","BKN@CLE",3300,13.115,0,""
20,"Jarrett Allen","BKN@CLE",3000,10.688,0,""
21,"Jayson Tatum","BOS@MIA",5800,26.819,0,""
22,"Marcus Morris","BOS@MIA",4900,24.306,0,""
23,"Daniel Theis","BOS@MIA",3300,11.338,0,""
24,"Semi Ojeleye","BOS@MIA",3200,5.574,0,""
25,"Guerschon Yabusele","BOS@MIA",3000,4.458,0,""
26,"Abdel Nader","BOS@MIA",3000,3.639,0,""
27,"Frank Kaminsky","WAS@CHA",4000,20.317,0,""
28,"Marvin Williams","WAS@CHA",3800,18.141,0,""
29,"Johnny O'Bryant III","WAS@CHA",3000,11,0,""
30,"Mangok Mathiang","WAS@CHA",3000,2.5,0,""
31,"Lauri Markkanen","CHI@UTA",6600,31.8,0,""
32,"Bobby Portis","CHI@UTA",5500,27.286,0,""
33,"Cristiano Felicio","CHI@UTA",3000,9.883,0,""
34,"Kevin Love","BKN@CLE",7900,37.368,0,""
35,"Jeff Green","BKN@CLE",3800,17.706,0,""
36,"Jae Crowder","BKN@CLE",3800,16.5,0,""
37,"Channing Frye","BKN@CLE",3400,8.55,0,""
38,"Ante Zizic","BKN@CLE",3300,4.65,0,""
39,"Harrison Barnes","DAL@MEM",5600,32.25,0,""
40,"Dirk Nowitzki","DAL@MEM",4200,21.986,0,""
41,"Dwight Powell","DAL@MEM",3200,13.471,0,""
42,"Johnathan Motley","DAL@MEM",3000,0,0,""
43,"Maxi Kleber","DAL@MEM",3000,7.292,0,""
44,"Wilson Chandler","DEN@HOU",4800,20.719,0,"GTD"
45,"Juancho Hernangomez","DEN@HOU",3600,6.75,0,""
46,"Mason Plumlee","DEN@HOU",3600,16.574,0,""
47,"Kenneth Faried","DEN@HOU",3400,9.533,0,""
48,"Trey Lyles","DEN@HOU",3200,7.146,0,""
49,"Richard Jefferson","DEN@HOU",3000,2.6,0,""
50,"Darrell Arthur","DEN@HOU",3000,4.375,0,""
51,"Tyler Lydon","DEN@HOU",3000,0,0,""
52,"Draymond Green","GS@OKC",7600,34.632,0,""
53,"Omri Casspi","GS@OKC",3600,12.375,0,""
54,"David West","GS@OKC",3500,16.297,0,""
55,"Kevon Looney","GS@OKC",3000,10.225,0,""
56,"Jordan Bell","GS@OKC",3000,8.792,0,""
57,"Ryan Anderson","DEN@HOU",4700,22.838,0,"GTD"
58,"P.J. Tucker","DEN@HOU",3800,19.088,0,""
59,"Luc Richard Mbah a Moute","DEN@HOU",3500,17.433,0,""
60,"Tarik Black","DEN@HOU",3500,10.438,0,""
61,"Zhou Qi","DEN@HOU",3000,3.025,0,""
62,"Chinanu Onuaku","DEN@HOU",3000,0,0,""
63,"Wesley Johnson","LAC@ATL",3800,17.469,0,""
64,"Montrezl Harrell","LAC@ATL",3200,9.477,0,""
65,"Sam Dekker","LAC@ATL",3000,6.096,0,""
66,"Jamil Wilson","LAC@ATL",3000,1.25,0,""
67,"Brice Johnson","LAC@ATL",3000,6.125,0,""
68,"Kyle Kuzma","LAL@SAC",6700,28.611,0,""
69,"Julius Randle","LAL@SAC",5200,24.861,0,""
70,"Luol Deng","LAL@SAC",3000,5,0,""
71,"Thomas Bryant","LAL@SAC",3000,0,0,""
72,"JaMychal Green","DAL@MEM",4500,15.688,0,""
73,"Chandler Parsons","DAL@MEM",3900,16.643,0,""
74,"Jarell Martin","DAL@MEM",3400,12.7,0,""
75,"Deyonta Davis","DAL@MEM",3000,6.625,0,""
76,"James Johnson","BOS@MIA",5600,28.317,0,""
77,"Justise Winslow","BOS@MIA",4200,18.25,0,""
78,"Kelly Olynyk","BOS@MIA",4100,19.563,0,""
79,"Bam Adebayo","BOS@MIA",3600,9.5,0,""
80,"Jordan Mickey","BOS@MIA",3000,11.083,0,""
81,"Udonis Haslem","BOS@MIA",3000,2,0,""
82,"Thon Maker","MIL@PHO",3300,12.375,0,""
83,"D.J. Wilson","MIL@PHO",3000,1.55,0,""
84,"Joel Bolomboy","MIL@PHO",3000,1.375,0,""
85,"Andrew Wiggins","ORL@MIN",6500,29.662,0,""
86,"Taj Gibson","ORL@MIN",5300,24.235,0,""
87,"Gorgui Dieng","ORL@MIN",3700,14.286,0,""
88,"Nemanja Bjelica","ORL@MIN",3400,14.191,0,""
89,"Dante Cunningham","SA@NO",3500,12.529,0,""
90,"Cheick Diallo","SA@NO",3300,6.636,0,""
91,"Enes Kanter","TOR@NY",6000,30.516,0,""
92,"Kyle O'Quinn","TOR@NY",3700,18.25,0,""
93,"Doug McDermott","TOR@NY",3500,14.797,0,""
94,"Guillermo Hernangomez","TOR@NY",3500,7.583,0,""
95,"Michael Beasley","TOR@NY",3400,10.229,0,""
96,"Lance Thomas","TOR@NY",3400,8.038,0,""
97,"Isaiah Hicks","TOR@NY",3000,0,0,""
98,"Luke Kornet","TOR@NY",3000,0,0,""
99,"Carmelo Anthony","GS@OKC",6700,34.583,0,""
100,"Jerami Grant","GS@OKC",4300,19.359,0,""
101,"Patrick Patterson","GS@OKC",3100,7.484,0,""
102,"Nick Collison","GS@OKC",3000,1.5,0,""
103,"Bismack Biyombo","ORL@MIN",3200,12.603,0,""
104,"Marreese Speights","ORL@MIN",3100,13.808,0,""
105,"Khem Birch","ORL@MIN",3000,3,0,""
106,"Dario Saric","POR@PHI",5000,21.328,0,""
107,"Richaun Holmes","POR@PHI",4100,11.958,0,""
108,"Amir Johnson","POR@PHI",3600,15.107,0,""
109,"James Michael McAdoo","POR@PHI",3000,5,0,""
110,"Alex Len","MIL@PHO",4600,24.059,0,""
111,"Greg Monroe","MIL@PHO",4600,18.344,0,""
112,"Marquese Chriss","MIL@PHO",3900,18.472,0,""
113,"Dragan Bender","MIL@PHO",3400,13.819,0,""
114,"Alec Peters","MIL@PHO",3000,5.625,0,""
115,"Caleb Swanigan","POR@PHI",3700,8.542,0,""
116,"Maurice Harkless","POR@PHI",3500,15.632,0,""
117,"Noah Vonleh","POR@PHI",3500,16.725,0,""
