"Rank","Player","Matchup","Salary","Avg","Prob","Status"
1,"LeBron James","BKN@CLE",11400,54.941,0.411,""
2,"Aaron Gordon","ORL@MIN",7000,34.45,0.185,""
3,"Otto Porter","WAS@CHA",6100,32.641,0.109,""
4,"Kevin Durant","GS@OKC",10000,46.517,0.083,"GTD"
5,"Devin Booker","MIL@PHO",7700,36.778,0.072,""
6,"Ben Simmons","POR@PHI",9500,46.641,0.068,""
7,"Evan Fournier","ORL@MIN",6300,31.735,0.024,""
8,"Robert Covington","POR@PHI",6200,31.813,0.012,""
9,"Carmelo Anthony","GS@OKC",6700,34.583,0.007,""
10,"DeMar DeRozan","TOR@NY",8400,39.641,0.005,""
11,"Andrew Wiggins","ORL@MIN",6500,29.662,0.004,""
12,"T.J. Warren","MIL@PHO",6600,30.847,0.004,""
13,"Brandon Ingram","LAL@SAC",6200,28.597,0.003,""
14,"Paul George","GS@OKC",8500,39.656,0.003,""
15,"Terrence Ross","ORL@MIN",3700,18.662,0.003,""
16,"Taurean Prince","LAC@ATL",5000,27.559,0.002,""
17,"Rondae Hollis-Jefferson","BKN@CLE",6400,27.533,0.002,""
18,"Jayson Tatum","BOS@MIA",5800,26.819,0.001,""
19,"Marcus Smart","BOS@MIA",5300,26.016,0.001,""
20,"Jeff Green","BKN@CLE",3800,17.706,0.001,""
21,"Kent Bazemore","LAC@ATL",5500,28.471,0,""
22,"Ersan Ilyasova","LAC@ATL",3900,14.875,0,""
23,"Nicolas Brussino","LAC@ATL",3000,1.25,0,""
24,"DeAndre' Bembry","LAC@ATL",3000,7,0,""
25,"DeMarre Carroll","BKN@CLE",5300,28.483,0,""
26,"Allen Crabbe","BKN@CLE",4600,22.203,0,""
27,"Caris LeVert","BKN@CLE",4100,21.859,0,""
28,"Joe Harris","BKN@CLE",3500,16.067,0,""
29,"Jaylen Brown","BOS@MIA",6500,29.319,0,""
30,"Marcus Morris","BOS@MIA",4900,24.306,0,""
31,"Semi Ojeleye","BOS@MIA",3200,5.574,0,""
32,"Nicolas Batum","WAS@CHA",6300,28.375,0,""
33,"Jeremy Lamb","WAS@CHA",5200,29.188,0,""
34,"Michael Kidd-Gilchrist","WAS@CHA",4100,16.15,0,""
35,"Marvin Williams","WAS@CHA",3800,18.141,0,""
36,"Dwayne Bacon","WAS@CHA",3400,12.906,0,""
37,"Justin Holiday","CHI@UTA",5800,28.125,0,""
38,"Denzel Valentine","CHI@UTA",4800,23.933,0,""
39,"Paul Zipser","CHI@UTA",3800,10.625,0,""
40,"Quincy Pondexter","CHI@UTA",3000,7.271,0,""
41,"J.R. Smith","BKN@CLE",4200,16.941,0,""
42,"Jae Crowder","BKN@CLE",3800,16.5,0,""
43,"Kyle Korver","BKN@CLE",3600,17.074,0,""
44,"John Holland","BKN@CLE",3000,2,0,""
45,"Cedi Osman","BKN@CLE",3000,3.781,0,""
46,"Harrison Barnes","DAL@MEM",5600,32.25,0,""
47,"Wesley Matthews","DAL@MEM",4300,24.153,0,""
48,"Will Barton","DEN@HOU",5400,28.574,0,""
49,"Wilson Chandler","DEN@HOU",4800,20.719,0,"GTD"
50,"Juancho Hernangomez","DEN@HOU",3600,6.75,0,""
51,"Trey Lyles","DEN@HOU",3200,7.146,0,""
52,"Richard Jefferson","DEN@HOU",3000,2.6,0,""
53,"Torrey Craig","DEN@HOU",3000,0,0,""
54,"Andre Iguodala","GS@OKC",4000,16.517,0,""
55,"Omri Casspi","GS@OKC",3600,12.375,0,""
56,"Patrick McCaw","GS@OKC",3200,7.143,0,""
