"Rank","Player","Matchup","Salary","Avg","Prob","Status"
1,"James Harden","DEN@HOU",11300,57.515,0.406,""
2,"Stephen Curry","GS@OKC",9400,46.516,0.17,""
3,"Devin Booker","MIL@PHO",7700,36.778,0.163,""
4,"Bradley Beal","WAS@CHA",7800,38.279,0.064,""
5,"Evan Fournier","ORL@MIN",6300,31.735,0.052,""
6,"Klay Thompson","GS@OKC",7200,33.191,0.031,""
7,"Eric Bledsoe","MIL@PHO",6500,28.306,0.027,""
8,"Jrue Holiday","SA@NO",6100,31.824,0.02,""
9,"DeMar DeRozan","TOR@NY",8400,39.641,0.017,""
10,"C.J. McCollum","POR@PHI",7300,35.203,0.014,""
11,"Brandon Ingram","LAL@SAC",6200,28.597,0.012,""
12,"Terrence Ross","ORL@MIN",3700,18.662,0.004,""
13,"Danny Green","SA@NO",4600,23.578,0.004,""
14,"Jimmy Butler","ORL@MIN",7400,33.8,0.003,""
15,"Austin Rivers","LAC@ATL",5100,22.578,0.002,""
16,"Kentavious Caldwell-Pope","LAL@SAC",5300,27.359,0.002,""
17,"Josh Richardson","BOS@MIA",4500,20.625,0.002,"GTD"
18,"Jamal Crawford","ORL@MIN",3600,15.544,0.002,""
19,"Taurean Prince","LAC@ATL",5000,27.559,0.001,""
20,"Marco Belinelli","LAC@ATL",4000,20.868,0.001,""
21,"Terry Rozier","BOS@MIA",4400,20.556,0.001,""
22,"Khris Middleton","MIL@PHO",6900,34.703,0.001,""
23,"J.J. Redick","POR@PHI",5000,26.839,0.001,""
24,"Kent Bazemore","LAC@ATL",5500,28.471,0,""
25,"Malcolm Delaney","LAC@ATL",3500,13.217,0,""
26,"Tyler Dorsey","LAC@ATL",3000,2.625,0,""
27,"Nicolas Brussino","LAC@ATL",3000,1.25,0,""
28,"DeAndre' Bembry","LAC@ATL",3000,7,0,""
29,"Spencer Dinwiddie","BKN@CLE",6300,24.953,0,""
30,"Allen Crabbe","BKN@CLE",4600,22.203,0,""
31,"Caris LeVert","BKN@CLE",4100,21.859,0,""
32,"Isaiah Whitehead","BKN@CLE",3500,9.35,0,""
33,"Joe Harris","BKN@CLE",3500,16.067,0,""
34,"Sean Kilpatrick","BKN@CLE",3400,7.444,0,""
35,"Jaylen Brown","BOS@MIA",6500,29.319,0,""
36,"Marcus Smart","BOS@MIA",5300,26.016,0,""
37,"Nicolas Batum","WAS@CHA",6300,28.375,0,""
38,"Jeremy Lamb","WAS@CHA",5200,29.188,0,""
39,"Malik Monk","WAS@CHA",3600,14.283,0,""
40,"Dwayne Bacon","WAS@CHA",3400,12.906,0,""
41,"Justin Holiday","CHI@UTA",5800,28.125,0,""
42,"Kris Dunn","CHI@UTA",5400,27.5,0,""
43,"Denzel Valentine","CHI@UTA",4800,23.933,0,""
44,"Jerian Grant","CHI@UTA",4600,21.467,0,""
45,"David Nwaba","CHI@UTA",4000,18.313,0,"GTD"
46,"Paul Zipser","CHI@UTA",3800,10.625,0,""
47,"Quincy Pondexter","CHI@UTA",3000,7.271,0,""
48,"Dwyane Wade","BKN@CLE",5400,23.281,0,""
49,"J.R. Smith","BKN@CLE",4200,16.941,0,""
50,"Kyle Korver","BKN@CLE",3600,17.074,0,""
51,"John Holland","BKN@CLE",3000,2,0,""
52,"Cedi Osman","BKN@CLE",3000,3.781,0,""
53,"Dennis Smith Jr.","DAL@MEM",5500,27.688,0,""
54,"J.J. Barea","DAL@MEM",4300,23.903,0,""
55,"Wesley Matthews","DAL@MEM",4300,24.153,0,""
56,"Yogi Ferrell","DAL@MEM",3800,18.736,0,""
57,"Devin Harris","DAL@MEM",3500,14.583,0,""
58,"Antonius Cleveland","DAL@MEM",3000,4,0,""
59,"Will Barton","DEN@HOU",5400,28.574,0,""
60,"Jamal Murray","DEN@HOU",5300,22.588,0,""
61,"Gary Harris","DEN@HOU",5200,25.95,0,""
62,"Torrey Craig","DEN@HOU",3000,0,0,""
63,"Malik Beasley","DEN@HOU",3000,5.453,0,""
64,"Andre Iguodala","GS@OKC",4000,16.517,0,""
65,"Shaun Livingston","GS@OKC",3600,12.517,0,""
66,"Nick Young","GS@OKC",3300,11.188,0,""
67,"Patrick McCaw","GS@OKC",3200,7.143,0,""
68,"Chris Paul","DEN@HOU",7500,36,0,""
69,"Eric Gordon","DEN@HOU",5700,30.516,0,""
70,"Trevor Ariza","DEN@HOU",5200,24.583,0,""
71,"Troy Williams","DEN@HOU",3000,3.875,0,""
72,"Lou Williams","LAC@ATL",7100,27.609,0,""
73,"Sindarius Thornwell","LAC@ATL",3200,9.328,0,""
74,"C.J. Williams","LAC@ATL",3000,3.5,0,""
75,"Jordan Clarkson","LAL@SAC",5100,23.292,0,""
76,"Tyler Ennis","LAL@SAC",3000,5.25,0,""
77,"Alex Caruso","LAL@SAC",3000,4.75,0,""
78,"Josh Hart","LAL@SAC",3000,7.346,0,""
79,"Vander Blue","LAL@SAC",3000,0.938,0,""
