Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,Start,Injury
PG,Dennis Schroder,6700,LAC@ATL 11/22/2017 07:30PM ET,35.533,ATL,1,
SG/SF,Kent Bazemore,5500,LAC@ATL 11/22/2017 07:30PM ET,28.471,ATL,1,
C,Dewayne Dedmon,5300,LAC@ATL 11/22/2017 07:30PM ET,25.074,ATL,1,
SG/SF,Taurean Prince,5000,LAC@ATL 11/22/2017 07:30PM ET,27.559,ATL,1,
PF/C,John Collins,4600,LAC@ATL 11/22/2017 07:30PM ET,24.044,ATL,,
SG,Marco Belinelli,4000,LAC@ATL 11/22/2017 07:30PM ET,20.868,ATL,,
SF/PF,Ersan Ilyasova,3900,LAC@ATL 11/22/2017 07:30PM ET,14.875,ATL,1,
SF/PF,Luke Babbitt,3800,LAC@ATL 11/22/2017 07:30PM ET,13.912,ATL,,2
C,Mike Muscala,3500,LAC@ATL 11/22/2017 07:30PM ET,16.333,ATL,,2
PG/SG,Malcolm Delaney,3500,LAC@ATL 11/22/2017 07:30PM ET,13.217,ATL,,
PF,Tyler Cavanaugh,3400,LAC@ATL 11/22/2017 07:30PM ET,7.531,ATL,,
PG,Isaiah Taylor,3300,LAC@ATL 11/22/2017 07:30PM ET,12.519,ATL,,2
C,Miles Plumlee,3000,LAC@ATL 11/22/2017 07:30PM ET,0,ATL,,
PG/SG,Tyler Dorsey,3000,LAC@ATL 11/22/2017 07:30PM ET,2.625,ATL,,
SG/SF,Nicolas Brussino,3000,LAC@ATL 11/22/2017 07:30PM ET,1.25,ATL,,
SG/SF,DeAndre' Bembry,3000,LAC@ATL 11/22/2017 07:30PM ET,7,ATL,,
PG,Josh Magette,3000,LAC@ATL 11/22/2017 07:30PM ET,2.25,ATL,,
PG,D'Angelo Russell,7000,BKN@CLE 11/22/2017 07:00PM ET,36.458,BKN,,2
SF/PF,Rondae Hollis-Jefferson,6400,BKN@CLE 11/22/2017 07:00PM ET,27.533,BKN,1,
PG/SG,Spencer Dinwiddie,6300,BKN@CLE 11/22/2017 07:00PM ET,24.953,BKN,1,
SF/PF,DeMarre Carroll,5300,BKN@CLE 11/22/2017 07:00PM ET,28.483,BKN,1,
PF/C,Trevor Booker,4800,BKN@CLE 11/22/2017 07:00PM ET,21.458,BKN,1,1
SG/SF,Allen Crabbe,4600,BKN@CLE 11/22/2017 07:00PM ET,22.203,BKN,1,
SG/SF,Caris LeVert,4100,BKN@CLE 11/22/2017 07:00PM ET,21.859,BKN,,
