Player,League Value,Proj Value,Avg Cost,FGM,FG%,FTM,3PTM,PTS,REB,AST,ST,BLK,FGM Percentile,FG% Percentile,FTM Percentile,3PTM Percentile,PTS Percentile,REB Percentile,AST Percentile,STL Percentile,BLK Percentile,FGM Z-Score,FG% Z-Score,FTM Z-Score,3PTM Z-Score,PTS Z-Score,REB Z-Score,AST Z-Score,STL Z-Score,BLK Z-Score,Mean Percentile,Mean Percentile/Avg Cost,Mean Z-Score,Mean Z-Score/Avg Cost,Fitted Avg Cost,Avg Cost Residaual
Kevin Durant GS - F,68,68,76.2,551,0.537,336,117,1555,513,300,66,99,0.912891986,0.888501742,0.930313589,0.790940767,0.916376307,0.871080139,0.860627178,0.679442509,0.954703833,1.580421426,1.123001331,1.658337565,0.743627139,1.628787559,0.98380266,0.895179864,0.300729085,1.949484648,0.867208672,20.01237791,1.207041253,27.85461733,41.63670917,34.56329083
Russell Westbrook OKC - G,67,67,77.2,824,0.425,710,200,2558,864,840,133,31,1,0.261324042,0.996515679,0.965156794,1,0.975609756,0.996515679,0.979094077,0.585365854,3.274230404,-0.623044658,4.785140501,2.110971183,3.798501877,2.807636897,4.557859396,2.52143553,-0.150539771,0.862175765,19.83655145,2.564687929,59.00718409,74.09092753,3.109072469
James Harden Hou - G,67,67,75.2,674,0.44,746,262,2356,659,907,121,38,0.968641115,0.365853659,1,0.993031359,0.996515679,0.944250871,1,0.954703833,0.672473868,2.34356613,-0.389199213,5.086116185,3.132360709,3.361530499,1.742434565,5.012302968,2.123697062,0.065639214,0.877274487,20.30656892,2.497605347,57.81291471,79.41604758,-4.216047578
Stephen Curry GS - G,67,67,72.4,675,0.467,325,324,1999,354,524,142,17,0.972125436,0.613240418,0.923344948,1,0.975609756,0.675958188,0.965156794,0.986062718,0.31358885,2.349770559,0.031722588,1.566372773,4.153750235,2.589259301,0.157621339,2.414513596,2.819739381,-0.582897739,0.825009679,19.26599563,1.722205781,40.21772098,61.21990161,11.18009839
Giannis Antetokounmpo Mil - F,61,61,74.3,656,0.521,471,49,1832,700,434,131,151,0.958188153,0.832752613,0.972125436,0.43902439,0.954703833,0.951219512,0.940766551,0.972125436,0.986062718,2.231886417,0.87356619,2.786996379,-0.376606535,2.228000786,1.955475032,1.804067007,2.455145786,3.555385674,0.889663182,20.65088834,1.945990748,45.17039533,70.23276785,4.067232146
Karl-Anthony Towns Min - C,60,60,68.5,802,0.542,356,101,2061,1007,220,56,103,0.996515679,0.891986063,0.93728223,0.696864111,0.986062718,0.986062718,0.773519164,0.574912892,0.958188153,3.137732977,1.200949813,1.825546278,0.480042745,2.723379229,3.550680476,0.352560674,-0.030719638,2.073015496,0.866821525,20.50758505,1.701465339,40.25389787,60.42428745,8.075712553
"Anthony Davis NO - F,C",58,58,65.8,770,0.505,519,40,2099,884,157,94,167,0.993031359,0.780487805,0.982578397,0.348432056,0.989547038,0.979094077,0.6271777,0.905923345,0.993031359,2.939191265,0.624131048,3.18829729,-0.524872757,2.805581765,2.911559076,-0.074751938,1.22878551,4.049509066,0.844367015,20.16822754,1.905270036,45.50855129,68.54091798,-2.74091798
"Kawhi Leonard SA - G,F",54,54,61.1,636,0.485,469,147,1888,430,260,133,55,0.93728223,0.717770035,0.968641115,0.895470383,0.961672474,0.766550523,0.804878049,0.979094077,0.825783972,2.107797848,0.312337122,2.770275507,1.237847878,2.349141366,0.552525619,0.623870269,2.52143553,0.590645318,0.873015873,21.22828824,1.451764051,35.30115165,51.11431042,9.985689584
LeBron James Cle - F,53,53,58.7,736,0.548,358,124,1954,639,646,92,44,0.989547038,0.912891986,0.940766551,0.822299652,0.972125436,0.93728223,0.986062718,0.898954704,0.777003484,2.728240697,1.294487991,1.842267149,0.858945312,2.491914192,1.638512387,3.24200786,1.162495765,0.250935486,0.915214866,22.47338028,1.723311871,42.31644878,61.26250897,-2.562508971
"Nikola Jokic Den - F,C",49,49,53.1,494,0.578,188,45,1221,718,359,61,55,0.885017422,0.940766551,0.790940767,0.404181185,0.860627178,0.958188153,0.895470383,0.634146341,0.825783972,1.226769002,1.762178881,0.420993088,-0.442502633,0.906270528,2.049004993,1.295361517,0.135004724,0.590645318,0.799457995,20.12644474,0.882636157,22.22046433,27.70090983,25.39909017
John Wall Was - G,47,47,56.7,647,0.451,422,89,1805,326,831,157,49,0.954703833,0.470383275,0.965156794,0.641114983,0.940766551,0.630662021,0.993031359,1,0.794425087,2.176046561,-0.217712554,2.377335032,0.28235445,2.16959372,0.012130289,4.496814737,3.316912466,0.405349046,0.821138211,20.33640735,1.668758194,41.32866542,59.18151323,-2.48151323
Chris Paul Hou - G,47,47,47.6,374,0.476,232,124,1104,303,563,120,8,0.728222997,0.668989547,0.857142857,0.822299652,0.797909408,0.574912892,0.979094077,0.951219512,0.128919861,0.482237583,0.172029855,0.788852257,0.858945312,0.653173245,-0.107380216,2.679040451,2.09055219,-0.860842147,0.723190089,18.72175509,0.750734281,19.43481189,21.93186288,25.66813712
Kyrie Irving Bos - G,47,47,48.4,671,0.473,297,177,1816,230,418,83,24,0.965156794,0.651567944,0.891986063,0.947735192,0.947735192,0.362369338,0.926829268,0.822299652,0.466898955,2.324952845,0.125260766,1.332280574,1.732068616,2.193389191,-0.486696169,1.695543169,0.864191915,-0.366718755,0.775842044,19.99850706,1.046030239,26.96301816,34.873944,13.526056
"DeMarcus Cousins NO - F,C",46,46,51.1,647,0.452,517,131,1942,794,332,100,94,0.954703833,0.484320557,0.979094077,0.839721254,0.968641115,0.968641115,0.87456446,0.926829268,0.940766551,2.176046561,-0.202122857,3.171576419,0.974263484,2.465955496,2.443909272,1.11222754,1.427654744,1.795071088,0.881920248,22.41912968,1.70717575,43.39779545,60.64272492,-9.542724915
