GID,"Last, First",First  Last,Date,Team,Opp,H/A,GameID,GTime(ET),Team pts,Opp pts,Start,Minutes,GP,active,FDP,DKP,DDP,YHP,Stats,DoubleD,TripleD,FD Sal,FD Change,DK Sal,DK Change,DD Sal,DD Change,YH Sal,YH Change,FD pos,DK pos,DD pos,YH pos,Column1
4379,"Irving, Kyrie",Kyrie Irving,20171017,bos,cle,A,20171017-bos-cle,20,99,102,1,39.35,1,1,48.8,50.5,50.75,48.8,22pt 4rb 10as 3st 2to 4trey 8-17fg 2-2ft,1,0,8200,,8300,,,,38,,1,1,,1,
4863,"Cook, Quinn",Quinn Cook,20171017,gsw,hou,H,20171017-hou-gsw,22.5,121,122,0,0,0,0,0,0,0,0,,0,0,3000,,,,,,10,,1,,,1,
4224,"Harden, James",James Harden,20171017,hou,gsw,A,20171017-hou-gsw,22.5,122,121,1,36.4,1,1,49.2,53.5,52.5,49.2,27pt 6rb 10as 1st 3to 4trey 10-23fg 3-4ft,1,0,11000,,10000,,,,48,,2,2,,2,
4087,"Brown, Bobby",Bobby Brown,20171017,hou,gsw,A,20171017-hou-gsw,22.5,122,121,0,0,0,1,0,0,0,0,,0,0,3000,,3800,,,,10,,1,1,,1,
3986,"Durant, Kevin",Kevin Durant,20171017,gsw,hou,H,20171017-hou-gsw,22.5,121,122,1,37.63333333,1,1,40.5,41.75,40.5,40.5,20pt 5rb 7as 4bl 8to 2trey 7-15fg 4-5ft,0,0,9800,,9600,,,,45,,3,34,,3,
3541,"James, LeBron",LeBron James,20171017,cle,bos,H,20171017-bos-cle,20,102,99,1,41.2,1,1,63.7,66.5,65.75,63.7,29pt 16rb 9as 2bl 4to 1trey 12-19fg 4-4ft,1,0,10400,,10200,,,,48,,3,34,,3,
3571,"Wade, Dwyane",Dwyane Wade,20171017,cle,bos,H,20171017-bos-cle,20,102,99,1,28.5,1,1,16.9,17,15.25,16.9,8pt 2rb 3as 2bl 4to 3-10fg 2-2ft,0,0,6000,,5200,,,,22,,2,12,,2,
4397,"Shumpert, Iman",Iman Shumpert,20171017,cle,bos,H,20171017-bos-cle,20,102,99,0,12.85,1,1,8.4,8,7.75,8.4,4pt 2rb 1st 1to 2-3fg,0,0,3000,,3000,,,,10,,2,12,,2,
3992,"Green, Jeff",Jeff Green,20171017,cle,bos,H,20171017-bos-cle,20,102,99,0,14.23333333,1,1,5,5.5,4.25,5,6pt 1to 3-8fg,0,0,3000,,3000,,,,10,,3,34,,3,
3786,"Paul, Chris",Chris Paul,20171017,hou,gsw,A,20171017-hou-gsw,22.5,122,121,1,33.06666667,1,1,38.1,36,34.25,38.1,4pt 8rb 11as 2st 1bl 1to 2-9fg,0,0,8800,,8000,,,,40,,1,1,,1,
4766,"Capela, Clint",Clint Capela,20171017,hou,gsw,A,20171017-hou-gsw,22.5,122,121,1,18.16666667,1,1,20.8,20,18.75,20.8,12pt 4rb 1st 1bl 2to 6-10fg 0-1ft,0,0,6000,,5600,,,,18,,5,5,,5,
4902,"McCaw, Patrick",Patrick McCaw,20171017,gsw,hou,H,20171017-hou-gsw,22.5,121,122,0,18.65,1,1,15.1,13.25,13,15.1,4pt 3rb 1as 1st 1bl 2-3fg,0,0,3000,,3500,,,,10,,2,23,,3,
4209,"Casspi, Omri",Omri Casspi,20171017,gsw,hou,H,20171017-hou-gsw,22.5,121,122,0,4.466666667,1,1,3.2,3.25,3.25,3.2,2pt 1rb 2-2ft,0,0,3000,,3300,,,,10,,3,34,,3,
4285,"Hayward, Gordon",Gordon Hayward,20171017,bos,cle,A,20171017-bos-cle,20,99,102,1,5.25,1,1,3.2,3.25,3,3.2,2pt 1rb 1-2fg,0,0,7600,,6700,,,,32,,3,3,,3,
4085,"Anderson, Ryan",Ryan Anderson,20171017,hou,gsw,A,20171017-hou-gsw,22.5,122,121,1,33.28333333,1,1,30.1,30,29.75,30.1,13pt 8rb 1as 1st 1bl 3trey 5-12fg,0,0,4700,,4100,,,,17,,4,4,,4,
4820,"Looney, Kevon",Kevon Looney,20171017,gsw,hou,H,20171017-hou-gsw,22.5,121,122,0,7.766666667,1,1,6.4,5.5,5.25,6.4,1pt 2rb 1st 1-2ft,0,0,3000,,3000,,,,10,,4,34,,4,
5124,"Bird, Jabari",Jabari Bird,20171017,bos,cle,A,20171017-bos-cle,20,99,102,0,0,0,0,0,0,0,0,,0,0,3000,,3000,,,,10,,2,2,,2,
3871,"Tucker, P.J.",P.J. Tucker,20171017,hou,gsw,A,20171017-hou-gsw,22.5,122,121,0,28.66666667,1,1,29.2,31,31.75,29.2,20pt 6rb 1st 1to 4trey 6-9fg 4-6ft,0,0,3900,,3500,,,,10,,3,34,,3,
4036,"Young, Nick",Nick Young,20171017,gsw,hou,H,20171017-hou-gsw,22.5,121,122,0,26.16666667,1,1,24.4,28,30.75,24.4,23pt 2rb 1to 6trey 8-9fg 1-1ft,0,0,3000,,3200,,,,10,,2,2,,2,
3749,"Frye, Channing",Channing Frye,20171017,cle,bos,H,20171017-bos-cle,20,102,99,0,0,0,1,0,0,0,0,,0,0,3000,,3400,,,,10,,5,45,,5,
4407,"Morris, Marcus",Marcus Morris,20171017,bos,cle,A,20171017-bos-cle,20,99,102,0,0,0,0,0,0,0,0,,0,0,4900,,4000,,,,17,,4,34,,4,
5113,"Allen, Kadeem",Kadeem Allen,20171017,bos,cle,A,20171017-bos-cle,20,99,102,0,0,0,0,0,0,0,0,,0,0,3000,,3000,,,,10,,1,2,,2,
5114,"Theis, Daniel",Daniel Theis,20171017,bos,cle,A,20171017-bos-cle,20,99,102,0,0,0,1,0,0,0,0,,0,0,3000,,3000,,,,10,,4,45,,4,
4173,"Curry, Stephen",Stephen Curry,20171017,gsw,hou,H,20171017-hou-gsw,22.5,121,122,1,29.55,1,1,35,36.75,35.75,35,22pt 5rb 4as 1st 2to 3trey 8-18fg 3-3ft,0,0,9700,,8800,,,,44,,1,1,,1,
5111,"Tatum, Jayson",Jayson Tatum,20171017,bos,cle,A,20171017-bos-cle,20,99,102,1,36.53333333,1,1,29.5,32.5,31.75,29.5,14pt 10rb 3as 1to 1trey 5-12fg 3-3ft,1,0,3500,,3900,,,,10,,3,34,,3,
4113,"Mbah a Moute, Luc",Luc Mbah a Moute,20171017,hou,gsw,A,20171017-hou-gsw,22.5,122,121,0,23.38333333,1,1,16.8,19,19.25,16.8,14pt 4rb 2to 2trey 6-9fg,0,0,3200,,3100,,,,10,,4,34,,3,
3621,"Ariza, Trevor",Trevor Ariza,20171017,hou,gsw,A,20171017-hou-gsw,22.5,122,121,1,37.65,1,1,27.7,27.5,27,27.7,8pt 6rb 5as 2st 1to 2trey 3-9fg,0,0,5600,,4500,,,,17,,3,34,,3,
4504,"Green, Draymond",Draymond Green,20171017,gsw,hou,H,20171017-hou-gsw,22.5,121,122,1,27.65,1,1,39.7,43.25,43.25,39.7,9pt 11rb 13as 2to 1trey 2-6fg 4-4ft,1,0,8300,,7000,,,,35,,4,45,,4,
4073,"Rose, Derrick",Derrick Rose,20171017,cle,bos,H,20171017-bos-cle,20,102,99,1,31.25,1,1,19.8,21.5,19.5,19.8,14pt 4rb 2as 2to 1trey 5-14fg 3-4ft,0,0,5500,,5000,,,,19,,1,1,,1,
5121,"Qi, Zhou",Zhou Qi,20171017,hou,gsw,A,20171017-hou-gsw,22.5,122,121,0,0,0,1,0,0,0,0,,0,0,3000,,3000,,,,10,,5,4,,4,
4655,"Larkin, Shane",Shane Larkin,20171017,bos,cle,A,20171017-bos-cle,20,99,102,0,4.816666667,1,1,1.2,1.25,1,1.2,0pt 1rb 0-1fg,0,0,3000,,3000,,,,10,,1,1,,1,
5119,"Zizic, Ante",Ante Zizic,20171017,cle,bos,H,20171017-bos-cle,20,102,99,0,0,0,0,0,0,0,0,,0,0,3000,,3000,,,,10,,5,45,,5,
4923,"Jackson, Demetrius",Demetrius Jackson,20171017,hou,gsw,A,20171017-hou-gsw,22.5,122,121,0,0,0,1,0,0,0,0,,0,0,3000,,3000,,,,10,,1,1,,1,
3553,"Pachulia, Zaza",Zaza Pachulia,20171017,gsw,hou,H,20171017-hou-gsw,22.5,121,122,1,10.23333333,1,1,12.6,11.75,11.75,12.6,6pt 3rb 1bl 2-2fg 2-2ft,0,0,3800,,3400,,,,10,,5,5,,5,
